"USER_NUM","USER_NAME","PHONE_NUM","BIRTHDAY","GENDER","ADDR","deleted_at"
1,"진구트","010-1212-3434","1990-10-21","male","서울시 구로구 구로동",""
2,"공다희","010-8612-3834","2011-08-11","male","서울시 구로구 구로동",""
3,"배기양","010-9124-1927","2007-09-01","male","서울시 구로구 구로동",""
4,"차무식","010-2435-1224","1967-12-24","male","서울시 구로구 구로동",""
5,"진석형","010-1212-3434","1990-10-21","male","서울시 구로구 구로동",""
6,"황지은","010-1256-6541","2009-04-05","female","서울시 구로구 구로동",""
7,"이경은","010-8454-5454","2010-11-14","female","서울시 구로구 구로동",""
9,"이규하","010-4098-2341","2012-11-07","female","서울시 구로구 구로동",""
10,"한정우","010-3383-6914","1993-08-11","male","서울시 금천구 가산동",""
11,"강마루","010-8596-2341","2014-05-07","female","서울시 구로구 구로동",""
12,"이지금","010-9455-6678","1996-04-14","female","서울시 금천구 가산동",""
13,"박내일","010-7785-6238","1991-11-14","male","서울시 금천구 가산동",""
14,"안리원","010-4496-2039","1970-04-14","male","서울시 구로구 구로동",""
15,"유모레","010-1189-6598","1997-12-17","male","서울시 금천구 가산동",""
16,"김희망","010-1278-9845","1982-04-14","male","서울시 금천구 가산동",""
17,"이민하","010-4566-2269","1980-02-14","male","서울시 구로구 구로동",""
18,"김보배","010-1278-9845","2012-10-20","male","서울시 금천구 가산동",""
19,"김희망","010-7751-4478","2000-07-20","male","서울시 금천구 가산동",""
20,"강나예","010-2416-3269","1983-10-14","female","서울시 구로구 구로동",""
21,"김보라","010-7211-9688","1992-12-01","female","서울시 금천구 가산동",""
22,"한찰찰","010-3383-6914","2012-09-24","male","서울시 금천구 가산동","2023-02-06"
23,"우디","010-1256-6541","1990-01-01","male","서울시 구로구 구로동",""
24,"호호이안","010-1293-4114","1999-01-24","female","서울시 금천구 가산동",""
25,"유나리","010-3455-7888","2010-07-21","female","서울시 금천구 가산동",""
26,"james barbecue","010-7532-9431","1993-08-14","male","서울시 구로구 구로동",""
27,"김석회","010-3224-6445","1982-08-17","male","서울시 구로구 구로동",""
28,"고사영","010-7794-1225","2000-08-17","male","서울시 구로구 구로동",""
29,"김손","010-8899-1226","1988-03-25","male","서울시 구로구 구로동",""
30,"김하영","010-8899-1226","2010-05-07","female","서울시 구로구 구로동",""
31,"배나영","010-5969-1449","1996-04-22","female","서울시 구로구 구로동",""
32,"성하리","010-8963-1662","1992-07-14","female","서울시 구로구 구로동",""
33,"김하늘","010-7779-1669","1999-11-12","male","서울시 금천구 가산동",""
34,"이구름","010-8559-1276","1989-12-25","female","서울시 구로구 구로동",""
35,"박햇살","010-4489-5716","2000-07-25","male","서울시 구로구 구로동",""
36,"마이에스큐엘","010-8594-8955","1995-05-23","male","서울시 구로구 구로동",""
37,"너의에스큐엘","010-1326-9542","2001-08-14","female","서울시 구로구 구로동",""
38,"홍찰찰","010-3383-6914","2011-08-10","male","서울시 금천구 가산동",""
42,"김김김","010-0000-0000","1996-06-14","female","서울시 구로구 구로동","2023-02-06"
43,"박찬양","010-4885-5216","2001-05-27","male","서울시 구로구 구로동","2023-02-06"
44,"펭수","010-2524-3612","2011-03-25","male","서울시 구로구 구로동",""
45,"고래","010-5353-3212","1976-09-30","female","서울시 구로구 구로동",""
46,"김수한무거북이와두루미","010-8353-6605","1972-04-29","male","서울시 구로구 구로동",""
47,"존레논","010-2755-6715","1968-02-28","male","서울시 구로구 구로동",""
48,"이제니","010-2334-5733","1999-12-28","female","서울시 구로구 구로동",""
50,"비둘기","010-9999-9999","1999-09-09","","서울시 파전이 많은곳","2023-02-07"
54,"원동건","010-1090-0405","1994-01-05","male","",""
